csv_upc,cat_id,category,description,images,manufacturer,name,weight,upc,sem3_id
0000000000049000031650,15216,Water,Size:Select. Dasani®- Purified Water.Plant Bottle®... (visit site URLs for full description),"['http://sem3-idn.s3-website-us-east-1.amazonaws.com/9a677d3dadaa1d42c451d1a9b39ede41,0.jpg']",Dasani,"DASANI water, 16.9 fl oz, 24 Count [Select]",13244897.20,049000031652,2dHtDKFbzY6eCuKaKkMuMI
0000000000071990301040,13454,Coffee,Coors Light's unique frost-brewing process locks i... (visit site URLs for full description),"['http://sem3-idn.s3-website-us-east-1.amazonaws.com/c4d7ab23387d231e94598f800fa10ce6,0.jpg']",Coors Brewing Company,Coors Light® Beer 9-16 fl. oz. Bottles,N\A,071990301040,78gJaqGUNM2Yk2kKgmwoIw
0000000000037000870950,18394,Diapering,Make changing time clean time with Pampers Baby Fr... (visit site URLs for full description),"['http://sem3-idn.s3-website-us-east-1.amazonaws.com/590bbbf233bc525fb663b65eb40d4404,0.jpg']",Procter & Gamble,"Pampers Baby Fresh Wipes, Scented (64 count)",N\A,037000870951,53xfd4OS1QIC8kMAICiWWW
0000000000037000950250,4468,Household Supplies,"Ever try one of those ""bargain"" paper towels and g... (visit site URLs for full description)","['http://sem3-idn.s3-website-us-east-1.amazonaws.com/a519205e1949d518309ff6095dae32da,0.jpg']",Procter & Gamble,"Bounty Super Roll Paper Towels, 74 sheets, 6 rolls",N\A,037000950257,0oFEuh4VPCAkaiwWIWQM0e
0000000000681131328840,1723,Prepared Food,We've handpicked and fresh-cut broccoli for tender... (visit site URLs for full description),"['http://sem3-idn.s3-website-us-east-1.amazonaws.com/492e27056bee195409825ac61ef22f1a,0.jpg']","Manufactured for Marketside, a division of Walmart Stores, Inc.",Green Giant® Fresh Broccoli Florets,340194.28,681131328845,4RVhR9FJ2ukKy4SIwKKGo6
0000000000071464180950,18203,Grocery & Gourmet Food,Premium Sweet Petites Carrots- The ideal cooking c... (visit site URLs for full description),"['http://sem3-idn.s3-website-us-east-1.amazonaws.com/5a6586f4d71502bb95e62bce1ad57eaf,0.jpg']",Bolthouse Farms,"Sweet Petite Carrots, 12 oz",N\A,071464180959,6hsi0FN02iE00iqymwkCqK
0000000000073410013750,2929,Cooking & Baking Supplies,"Combining great taste and serious nutrition, Arnol... (visit site URLs for full description)","['http://sem3-idn.s3-website-us-east-1.amazonaws.com/9c2e10307124ea97392d0f86da101cf6,0.jpg']",Bimbo Bakeries,"Arnold Whole Grains Bread 100% Whole Wheat, 24.0 OZ",680388.55,073410013755,64qg84oCzQo88IIYkwsY0i
0000000000050000322750,13454,Coffee,Nestle Coffee-mate French Vanilla Liquid Coffee Cr... (visit site URLs for full description),"['http://sem3-idn.s3-website-us-east-1.amazonaws.com/95e2c5d36502c55aefedbbb94510df45,0.jpg']",Nestle Usa/Beverage,COFFEE-MATE French Vanilla Liquid Coffee Creamer 32 fl. oz. Bottle,N\A,050000322756,7GXZUUrhBo42Q6KuqUuOU8
0000000000045868000010,N\A,N\A,N\A,N\A,N\A,N\A,N\A,N\A,N\A
0000000000037000868860,18394,Diapering,Give your baby the number one choice of hospitals.... (visit site URLs for full description),"['http://sem3-idn.s3-website-us-east-1.amazonaws.com/e267b776f0088d03a9609aa34ebfdf3d,0.jpg']",Procter & Gamble,"Pampers Swaddlers Diapers, Size 4, 116 Diapers",N\A,037000868866,2AQRRnSloeWiA6kAGwU0AE
0000000000088586403860,23513,Wine,Made in the USA or Imported,"['http://sem3-idn.s3-website-us-east-1.amazonaws.com/a57546d594bc736337227a86b188ab34,0.jpg']",N\A,Columbia Crest® Two Vines Chardonnay - 750mL Bottle,N\A,088586403866,5RCZhjLFfyQMgSkugAY2OC
0000000000044000004630,5254,Graham Crackers,Experience the sweet taste of childhood with Honey... (visit site URLs for full description),"['http://sem3-idn.s3-website-us-east-1.amazonaws.com/a258ab1681a6af02f222d16e92093777,0.jpg']","Kraft Foods North America, Inc.","Honey Maid Grahams, 14.1 oz",408233.13,044000004637,5CMjPk4XN2k8eqCY2Ms4A0
0000000000044000046540,3636,Cookies,Made in the USA or Imported,"['http://sem3-idn.s3-website-us-east-1.amazonaws.com/623bd928ba129112120123be0e60e87f,0.jpg']",N\A,tons Fig Original Soft & Chewy Fruit Cookies - 10oz,283495.23125,044000046545,4ppAkl6eFcMymgI2qaq86O
0000000000038000403700,18210,Cereal,How do you Eggo? There are so many ways to enjoy y... (visit site URLs for full description),"['http://sem3-idn.s3-website-us-east-1.amazonaws.com/e8269fd030c664fad8b14c8490bfaeb4,0.jpg']",Kellogg,Kellogg's Eggo Nutri-Grain Whole Wheat Waffles 10 ct Box,N\A,038000403705,3sswkCbbRI8u0gcQKw4OQa
0000000000658441000000,N\A,N\A,N\A,N\A,N\A,N\A,N\A,N\A,N\A
0000000000078742351870,17534,Health & Personal Care,Our farmers have pledged To not treat any Of their... (visit site URLs for full description),"['http://sem3-idn.s3-website-us-east-1.amazonaws.com/d7778fd163ed10cb6c91af73147a3c87,0.jpg']","Wal-Mart Stores, Inc.","Great Value 2% Reduced Fat Milk, 1 gal",N\A,078742351872,51acZNJpMmKyCKUCw6SqCI
0000000000078742351910,9581,Beverages,Our guarantee is our promise that you'll be fully ... (visit site URLs for full description),"['http://sem3-idn.s3-website-us-east-1.amazonaws.com/6a2c7761af69c516babf716bdd87d92f,0.jpg']","Wal-Mart Stores, Inc.","Great Value Distilled Water, 1 Gal",N\A,078742351919,3qZF3PwIiGuO2YA60qWMGU
0000000000074390001500,N\A,N\A,N\A,N\A,N\A,N\A,N\A,N\A,N\A
0000000000037000197400,21196,Fabric Deodorizer,Febreze Clean Auto Fabric RefresherFebreze Fabric ... (visit site URLs for full description),"['http://sem3-idn.s3-website-us-east-1.amazonaws.com/4014e7a273e81d2ac44c3c27050be3da,0.jpg']",Procter Gamble Household,Febreze Fabric Refresher Extra Strength - 16.9 oz - 2 pk,479106.94,037000197409,70huzIoIBkOYSCmCCI0AE4
0000000000033200113210,13634,Health Monitors,Loosens and help your vacuum lift up to 25% more d... (visit site URLs for full description),"['http://sem3-idn.s3-website-us-east-1.amazonaws.com/d7bd404fd933792900102e61f15a6104,0.jpg']",Lagasse Sweet,Arm & Hammer Odor Eliminator For Carpet & Room Extra Strength Boxed 30 Oz,907184.74,033200113218,14nwdT04xQ6WMSqo8KymOU
0000000000044600306190,6775,Bathroom Cleaners,"Thick coating formula with bleach works on stains,... (visit site URLs for full description)","['http://sem3-idn.s3-website-us-east-1.amazonaws.com/d45d38a6843d9dad8e0fc0ee7bc2ff28,0.jpg']",Clorox/Home Cleaning,Clorox Company 30620 Toilet Bowl Cleaning Gel,825538.11,044600306193,7cy6Vo7gtUu420ySqEC8A8
0000000000019200939940,4468,Household Supplies,Lysol Scrubbing Power Bathroom Wipes Citrus 35 Ct.... (visit site URLs for full description),"['http://sem3-idn.s3-website-us-east-1.amazonaws.com/d402640cb7fe9c7f56bd6d73539c0a1e,0.jpg']",Reckitt Benckiser,"LYSOL Scrubbing Power, Bathroom Wipes 35 ea",N\A,019200939942,2KmkyhPW0CcSkMySEYCYu0
0000000000022200941520,17534,Health & Personal Care,You can always have maximum confidence in the orig... (visit site URLs for full description),"['http://sem3-idn.s3-website-us-east-1.amazonaws.com/11aec685969533b5f99e130004f8040e,0.jpg']",Colgate-Palmolive,Speed Stick Regular Deodorant 3oz,92135.95,022200941525,38bKTkrgbQSao4qug28Y6K
0000000000078000122460,494,Soda,Relax and soak up the taste of the sun with Sunkis... (visit site URLs for full description),"['http://sem3-idn.s3-website-us-east-1.amazonaws.com/e098c551a44fb66a06d5fb7699b1e04d,0.jpg']",Dr Pepper Snapple Group,Diet Sunkist Orange Soda 2 L bottle,199580.64,078000122466,6nOrDwmu6wGSaemeEIuMiY
0000000000033383651010,N\A,N\A,N\A,N\A,N\A,N\A,N\A,N\A,N\A
0000000000078742193730,N\A,N\A,N\A,N\A,N\A,N\A,N\A,N\A,N\A
0000000000078742285420,24000,Board Games,A game of investing and buying/selling stocks and ... (visit site URLs for full description),"['http://sem3-idn.s3-website-us-east-1.amazonaws.com/184d085049c666f7c363c243d8d87aa0,0.jpg']",3M Company,1 X Stocks and Bonds The Game Of Investments BOOKSHELF GAME,498951.61,078742285429,6n0BO3SI3UIaOWKymO20si
0000000000078000083400,494,Soda,Type: soft drinks. Serving Size: 8.0 Oz. Servings ... (visit site URLs for full description),"['http://sem3-idn.s3-website-us-east-1.amazonaws.com/defa5538de5d82a61fc5543b9c95a6af,0.jpg']",Dr Pepper Snapple Group,Diet Dr Pepper 20 Fl Oz bottle,566990.46,078000083408,2UNPTU0IuOUQ6UUiI88O6q
0000000000009100026450,18242,Oil Filters & Accessories,Style:Ultra Synthetic. FRAM Ultra Synthetic Oil Fi... (visit site URLs for full description),"['http://sem3-idn.s3-website-us-east-1.amazonaws.com/43da03e814da43ed1b60a1497829b25d,0.jpg']",Fram,FRAM XG7317 Ultra Synthetic Spin-On Oil Filter with Sure Grip [Ultra Synthetic],N\A,009100026453,0OSzjLeFL8Kc40wQOSE6ms
0000000000883929568580,N\A,N\A,N\A,N\A,N\A,N\A,N\A,N\A,N\A
0000000000071924449670,8289,Filters,Size:5 Quart. Mobil 1 0W-20 Advanced Fuel Economy ... (visit site URLs for full description),"['http://sem3-idn.s3-website-us-east-1.amazonaws.com/32b64af645feb6d0757151799fec180b,0.jpg']",Generic,"Mobil 1 0W-20 Advanced Fuel Economy Full Synthetic Motor Oil, 5 qt.",N\A,071924449671,0asqkMnlw9I64MmccwO000
0000000000786348393040,12908,Home & Kitchen,"Felli Housewares manufacturers the finest, shatter... (visit site URLs for full description)","['http://sem3-idn.s3-website-us-east-1.amazonaws.com/3d24cddfb27af7be0ec97003a1d67ccf,0.jpg']",Generic,Better Homes and Gardens Square Flip-Tite Storage Container,353802.05,786348393041,0oTMY5XBsUAgAm2oUegYIg
0000000000034441948510,12908,Home & Kitchen,This Mainstays Dishcloth Set is white with tan wef... (visit site URLs for full description),"['http://sem3-idn.s3-website-us-east-1.amazonaws.com/8edfefe26f9b0373cc71a64884f7187f,0.jpg']","1888 Mills, LLC","Mainstays Dishcloth Set, Brown Stone, 4 Pack",N\A,034441948515,7edXKgA7LkkYC0QuKoQIyG
0000000000078742351890,17534,Health & Personal Care,Our farmers have pledged To not treat any Of their... (visit site URLs for full description),"['http://sem3-idn.s3-website-us-east-1.amazonaws.com/c68a32caa0be5eaccc9f1dff37e7d6f6,0.jpg']","Wal-Mart Stores, Inc.","Great Value Fat Free 0% Milk, 1 gal",N\A,078742351896,2o0diepQ8WuUEUAgcMkmSY
0000000000078742050810,4468,Household Supplies,Important Made in USA Origin Disclaimer- For certa... (visit site URLs for full description),"['http://sem3-idn.s3-website-us-east-1.amazonaws.com/491e415007dc055d31725d01c30e5f3b,0.jpg']","Wal-Mart Stores, Inc.","Great Value Storage Gallon, 40 Ct",N\A,078742050812,0UF1sGMOCh6IY4kq6GUS6G
0000000000681131573930,17534,Health & Personal Care,Our guarantee is our promise that you'll be fully ... (visit site URLs for full description),"['http://sem3-idn.s3-website-us-east-1.amazonaws.com/1eae665f59a6443efc33ee7883bc7312,0.jpg']","Wal-Mart Stores, Inc.","Great Value Everyday Spoons White Cutlery, 48 Ct",N\A,681131573931,5m12lMJKlsSwcs6WgOyKA6
0000000000042000355010,5614,Napkins,"Soft and strong with a cloth-like texture, Vanity ... (visit site URLs for full description)","['http://sem3-idn.s3-website-us-east-1.amazonaws.com/3e57d886613c7a7447f88f3f3be001ba,0.jpg']",Vanity Fair,"Vanity Fair Everyday Napkins, 100 Count Paper Napkins",453592.37,042000355018,6hOnYe6TpIIyCa8I2KaiiY
0000000000078742353170,7207,Dairy & Eggs,Our guarantee is our promise that you'll be fully ... (visit site URLs for full description),"['http://sem3-idn.s3-website-us-east-1.amazonaws.com/77af9c7b45495c7d8b3f84e9008054be,0.jpg']","Wal-Mart Stores, Inc.","Great Value Shredded Low-Moisture Part-Skim Mozzarella Cheese, 8 oz",226796.18,078742353173,5wV4LuHlk8w2KogwmOsoiq
0000000000012000002300,494,Soda,"Pepsi - the bold, refreshing, robust cola","['http://sem3-idn.s3-website-us-east-1.amazonaws.com/4ecc449d9872cdf301e72ba5e6824248,0.jpg']",Pepsi,Pepsi (122300) 2 Liter,2267961.85,012000002304,1ocLAopAcaGywMmeQS60Qm
0000000000024300042700,2929,Cooking & Baking Supplies,Kosher dairy,"['http://sem3-idn.s3-website-us-east-1.amazonaws.com/0c83cf1489b84347ca7fc78f08c09968,0.jpg']",McKee Foods,"Devil Cremes Cakes, 6ct",283495.23,024300042706,5aTYgEW7Ps0ugCcAay8Sgg
0000000000034000005290,9786,Candy,Cool off with the fresh taste of Ice Breakers Ice ... (visit site URLs for full description),"['http://sem3-idn.s3-website-us-east-1.amazonaws.com/2c48d407055c4d97be9112afa0fb943f,0.jpg']",Hershey Foods,"Ice Breakers Ice Cubes Wintergreen Sugar Free Gum, 40 ct",N\A,034000005291,10EQDrU9EYI6E8CKAOqiM2
0000000000022700036610,8106,Foundation,"Color:Ivory(N) 405. Get the beauty of a liquid, a ... (visit site URLs for full description)","['http://sem3-idn.s3-website-us-east-1.amazonaws.com/54344caebbffc8659e99c6354e6f6f4f,0.jpg']",COVER GIRL,"COVERGIRL Ultimate Finish Liquid Powder Make Up Ivory Neutral 405, .4 oz [Ivory(N) 405]",95254.40,022700036615,17p0Kpka3yCEyomgaeAu6W
0000000000051131667750,22911,Bandages & Bandaging Supplies,Size:Pack of 1. Moves with you and keeps on sticki... (visit site URLs for full description),"['http://sem3-idn.s3-website-us-east-1.amazonaws.com/a46ad155a02464e39a20576b26801f6f,0.jpg']",3M,"3M - First Aid Waterproof Tape 1""x180"", Flexible",49895.16,051131667754,6jf8W47r1sSE4kQsU40qUi
0000000000681131696120,19076,Sinus Medicine,"Temporarily relieves nasal congestion, swollen nas... (visit site URLs for full description)","['http://sem3-idn.s3-website-us-east-1.amazonaws.com/d75dd7ad34eb71561653dfb4e8b3c99f,0.jpg']",Equate,Equate 4-Way Nasal Spray 3-Pack Phenylephrine HCl - 1 fl oz each,453592.37,681131696128,1IiGzMyRSesagw2qceOWI8
0000000000312547171570,20363,First Aid,Size:Pack of 2. For the most up to date informatio... (visit site URLs for full description),"['http://sem3-idn.s3-website-us-east-1.amazonaws.com/bd4b6389cb89d1479f71dacf2d41c4aa,0.jpg']","Johnson & Johnson Consumer Companies, Inc.","Benadryl Extra Strength Antihistamine Anti-Itch Gel, 3.5 Fl. Oz bottle",3.5,312547171571,6lnbJR37PUoOA6Qme2ECuy
0000000000681131062730,17534,Health & Personal Care,Equate Cool & Heat Pain Relieving Liquid:Temporari... (visit site URLs for full description),"['http://sem3-idn.s3-website-us-east-1.amazonaws.com/1feebc2a0a5ce1b151ef8b813a4d5388,0.jpg']","Wal-Mart Stores, Inc.","Equate Maximum Strength Cool & Heat Pain Relieving Liquid, 2.5 fl oz",N\A,681131062732,3hQvpaeYJkYyu0ae6GCAo6
0000000000072180638100,6741,Chocolate,Red Baron Brick Oven Crust Cheese Trio Pizza-,"['http://sem3-idn.s3-website-us-east-1.amazonaws.com/b8a67f7ffad23dc72087a5eb3fef7e1f,0.jpg']",Schwan's Consumer Brands - North America,Red Baron® Brick Oven™ Crust Cheese Trio Pizza 17.82 oz. Box,505188.50,072180638106,0KoEwUfSZckWsgumsGQ6QU
0000000000078742372300,N\A,N\A,N\A,N\A,N\A,N\A,N\A,N\A,N\A
0000000000028400083140,11497,Tortilla Chips,Tostitos white corn scoops is made with 100 percen... (visit site URLs for full description),"['http://sem3-idn.s3-website-us-east-1.amazonaws.com/9c4c74008d638fca0856f213c14bc89d,0.jpg']",Frito-Lay,"Tostitos Brand Tortilla Chips, 100% White Corn Scoops, Family Size (Pack of 3)",2267961.85,028400083140,7ACkNAhZ9UCECge8QmE4GC
0000000000078742351860,17534,Health & Personal Care,Our farmers have pledged To not treat any Of their... (visit site URLs for full description),"['http://sem3-idn.s3-website-us-east-1.amazonaws.com/7faea565dbb23897629c2832bb6d930f,0.jpg']","Wal-Mart Stores, Inc.","Great Value Vitamin D Milk, 1 gal",N\A,078742351865,174iMVqHS0uyoCGEAisEmW
0000000000000000040320,1725,Cologne,Launched by the design house of Liz Claiborne in 1... (visit site URLs for full description),"['http://sem3-idn.s3-website-us-east-1.amazonaws.com/49107734461536c2ac6b9365d6ef3153,0.jpg']",Liz Claiborne,CURVE by Liz Claiborne Mini EDT . 18 oz,510291.42,000000040327,1qXNiNHwsaCcgy00SgAiEe
0000000000042037103670,8320,Non-Aspirin,Style:Extra Strength | Size:6 Count. Goody’s Heada... (visit site URLs for full description),"['http://sem3-idn.s3-website-us-east-1.amazonaws.com/feae14de10a2c901081e69f77b990d65,0.jpg']",Goody's,"Goody's Extra Strength Headache Powders, 6 Count [6 Count, Extra Strength]",13607.77,042037103675,4SXTsiR2wKWcS28SuyG0c8
0000000000658455000000,N\A,N\A,N\A,N\A,N\A,N\A,N\A,N\A,N\A
0000000000000000032070,N\A,N\A,N\A,N\A,N\A,N\A,N\A,N\A,N\A
0000000000041570056210,2929,Cooking & Baking Supplies,Blue Diamond® Vanilla Almonds Breeze® AlmondMilk.A... (visit site URLs for full description),"['http://sem3-idn.s3-website-us-east-1.amazonaws.com/2319f49036f8ce40116e569114e44d31,0.jpg']",BLUE-D,"Blue Diamond Vanilla Almond Breeze, Size: 64 Oz (Pack of 6)",1814369.48,041570056219,7OkaKbJpiKComgM28ECEuY
0000000000619659125020,10472,Memory Cards,SanDisk Extreme PLUS UHS-1 cards are more than 10 ... (visit site URLs for full description),"['http://sem3-idn.s3-website-us-east-1.amazonaws.com/2d48665f4a051566e36c21ed4aefb94e,0.jpg']",SanDisk,"SanDisk Extreme PLUS UHS-1 32GB microSD Card, Class 10",N\A,619659125028,1bkekqYDuSS8oEu04u2ac4
0000000000000000044010,25459,Uncategorized,Your Custom T-shirt is Heavyweight 6.1 oz 100% Cot... (visit site URLs for full description),"['http://sem3-idn.s3-website-us-east-1.amazonaws.com/218ca26844312c1cae4db4ee2f4aa8ae,0.jpg']",N\A,Big Mens Skeleton Shark Graphic T-Shirt (Big & Tall and Regular Sizes),N\A,000000044011,07mi3vdhTbEYqmiWKQUMMy
0000000000052159012030,7207,Dairy & Eggs,Stonyfield Farm Organic Lowfat Milk comes fresh fr... (visit site URLs for full description),"['http://sem3-idn.s3-website-us-east-1.amazonaws.com/e2aff443f36037c054cdc4fdfa800841,0.jpg']","Stonyfield Farm, Inc.",Stonyfield Organic™ Low Fat Milk 0.5 gal. Carton,N\A,052159012038,26G2iwNtHwu84CSAewyI62
0000000000016000483660,18210,Cereal,Honey nut cheerios cereal.,"['http://sem3-idn.s3-website-us-east-1.amazonaws.com/6b905d978e6f9da98c0cb50483e5f88e,0.jpg']",Generic,General Mills Honey Nut Cheerios Gluten Free Cereal Family Size 21.6 oz Box,510291.42,016000483668,6GViitvGjYUocG4ukKQYS8
0000000000000000040800,20638,Knives,Paul Chen - Bearded Axe with Hardwood Handles. Mod... (visit site URLs for full description),"['http://sem3-idn.s3-website-us-east-1.amazonaws.com/258172c9643977e7e7ee261c08431364,0.jpg']",Paul Chen Swords,Bearded Axe with Hardwood Handles,N\A,000000040808,3QX3xPs3hg62sYAEC4OSmw
0000000000071430031870,N\A,N\A,N\A,N\A,N\A,N\A,N\A,N\A,N\A
0000000000078742285440,N\A,N\A,N\A,N\A,N\A,N\A,N\A,N\A,N\A
0000000000681131085730,N\A,N\A,N\A,N\A,N\A,N\A,N\A,N\A,N\A
0000000000021000026310,1380,Mayonnaise,Mayonnaise,"['http://sem3-idn.s3-website-us-east-1.amazonaws.com/35c74c9b984f034a1bd38425147abec6,0.jpg']",KRAFT FOODS GROCERY,"Kraft Mayo with Olive Oil, 30 oz",952543.98,021000026319,27ilFV9lx6eQeM4GMGIAQe
0000000000070404004380,9570,"Oils, Vinegars & Salad Dressings",Pompeian Organic Extra Virgin Olive Oil is USDA Ce... (visit site URLs for full description),"['http://sem3-idn.s3-website-us-east-1.amazonaws.com/51aef99f845b2e4d4c0e8ccd8ef59ac8,0.jpg']",N\A,Pompeian Imported Extra Virgin Organic Olive Oil 5 oz,141747.62,070404004386,2BZqBOCLBAC8WiyYMigQqE
0000000000000000040480,N\A,N\A,N\A,N\A,N\A,N\A,N\A,N\A,N\A
0000000000000000040620,13157,Beauty,"Buy Cucumber, each at Walmart.com","['http://sem3-idn.s3-website-us-east-1.amazonaws.com/870dfad714ee3e870cd928f4ff398586,0.jpg']",N\A,"Cucumber, each",N\A,000000040624,2ulq6126ymOuqQe8E0cKmg
0000000000000000046930,N\A,N\A,N\A,N\A,N\A,N\A,N\A,N\A,N\A
0000000000000000048890,N\A,N\A,N\A,N\A,N\A,N\A,N\A,N\A,N\A
0000000000041271024890,7207,Dairy & Eggs,International Delight Amaretto Cafe Gourmet Coffee... (visit site URLs for full description),"['http://sem3-idn.s3-website-us-east-1.amazonaws.com/aa1005d748da2301cd4b770d8aa0f395,0.jpg']",White Wave Foods,"International Delight Amaretto Coffee Creamer, Quart",N\A,041271024890,3Hl7DTGYBka8sYq2o464yw
0000000000078742030890,7323,Meat & Poultry,Our guarantee is our promise that you'll be fully ... (visit site URLs for full description),"['http://sem3-idn.s3-website-us-east-1.amazonaws.com/3adbe08df82d5f28e51afe6ee127b285,0.jpg']",WALMART,"Great Value Original Bacon, 12 oz",340194.28,078742030890,4NBLQx0vY8qCuCeQcakkMM
0000000000715141113560,7207,Dairy & Eggs,Eggland's Best Grade AA Extra Large Eggs- Excellen... (visit site URLs for full description),"['http://sem3-idn.s3-website-us-east-1.amazonaws.com/71259c19cef6f9ec252818611c1803dc,0.jpg']","Eggland's Best, Inc.","Eggland's Best Grade AA Extra Large Eggs, 18 ct",1148155.69,715141113563,0uaoLOYs2GcOA0a6soauWW
0000000000033383140030,N\A,N\A,N\A,N\A,N\A,N\A,N\A,N\A,N\A
0000000000768573002400,N\A,N\A,N\A,N\A,N\A,N\A,N\A,N\A,N\A
0000000000000000040110,N\A,N\A,N\A,N\A,N\A,N\A,N\A,N\A,N\A
0000000000756110195750,N\A,N\A,N\A,N\A,N\A,N\A,N\A,N\A,N\A
0000000000000000040500,N\A,N\A,N\A,N\A,N\A,N\A,N\A,N\A,N\A
0000000000786162338000,15216,Water,Vapor distillation is a purification process that ... (visit site URLs for full description),"['http://sem3-idn.s3-website-us-east-1.amazonaws.com/a61e3b424d5436b0660ee3e7757c7777,0.jpg']",CAJ International (Coke and Pepsi),"Glaceau Smartwater Vapor Distilled Water, 33.8 Ounce (Pack of 6)",6259574.71,786162338006,4SqWUnrVDM6eMSmkuw0YuI
0000000000786162004860,25459,Uncategorized,Black Diamond Ice Cream Paper Cups. Each one is 2.... (visit site URLs for full description),"['http://sem3-idn.s3-website-us-east-1.amazonaws.com/22446daa75cab7bcdc1a200a12af8eb5,0.jpg']",N\A,"8 Oz Black Diamond Party Candy / Ice Cream Paper Cups – 1,000ct",226796.18,786162004864,3XoCNdSGFcgMmyq2y4ksWi
0000000000078354707590,7207,Dairy & Eggs,Cabot cheeses have won every major award for taste... (visit site URLs for full description),"['http://sem3-idn.s3-website-us-east-1.amazonaws.com/a1b63233b9798e0a21061dbfc6dc55ba,0.jpg']",Cabot Creamery,Cabot™ Pepper Jack Cheese 8 oz. Brick,226796.18,078354707593,4NXbS75Pp2Ku0mEuYuoauM
0000000000086800872600,13,Skin Protection,Help keep your sensitive skin protected with Neutr... (visit site URLs for full description),"['http://sem3-idn.s3-website-us-east-1.amazonaws.com/c5b997a39705b0d90eda3e54cfb17964,0.jpg']",Johnson & Johnson SLC,Neutrogena Sensitive Skin Sunscreen Lotion SPF 60+ 3 oz [Pack of 1],117934.02,086800872603,2ir3bRckiGOwMOaycW2wgU
0000000000086800860190,13,Skin Protection,Size:Pack of 1. Neutrogena Ultra Sheer Body Mist S... (visit site URLs for full description),"['http://sem3-idn.s3-website-us-east-1.amazonaws.com/464db8f297cbd6d714c317d4223e21e1,0.jpg']",Neutrogena Corp,"Neutrogena, Ultra Sheer Sunblock Body Mist Spray, SPF 100+, 5 oz [Pack of 1]",185972.87,086800860198,5hCEFMrfs0WM0IoYao2KQA
